,id,text,prompt,score
0,en_cw_000331,1. Use light weight plastic.\n 2. Make a hole in plastic to hang.,2,0
1,en_cw_000332,"based on the data in the table, it can be concluded that the samples A and B stretched (A 2 cm, B 1 cm), the sample C shrunk, and the sample D remained unchanged.",2,0
2,en_cw_000333,Conclusions:\n Different polymer plastics have different stretchability\n Plastic sample A has the least amount of stretchability compared to the other polymer\n plastics. \n Plastic sample B has more stretchability than the other polymer plastics. \n \n Describe two ways the student could have improved the experimental design and/or validity of the results\n Indicate how many weights were added to the clamps\n Provide the before and after measurements for length,2,3
3,en_cw_000334,"Take the plastic and put a piece on one side while the other one is firm. After 5 minutes, you can see the stretching of the material.\n Different plastics vary exponentially.",2,0
4,en_cw_000335,The amount of weight added to the types\n The initial length of the types\n The amount of tape put on each type,2,2
5,en_cw_000336,a. Material D was the more stretchable and material A stretched more on the second trial\n b. They could have performed 3 trials in total and then calculate an average,2,1
6,en_cw_000337,"first two samples have bigger length, sample c have some shortage and sample d stay same length.\n You must same conditions for every sample, and watch exactly that weight is same for every sample.",2,0
7,en_cw_000338,"at first glance, according to the results, the first sample is more elastic. he was able to improve the results by adding equal weights to each sample and using samples of the same length",2,2
8,en_cw_000339,"UNA is the most elastic polymer of all in the experiment, the RE did not see any variation",2,0
9,en_cw_000340,"take 3 types of plastic one more flexible than another, each plastic will be put to hold the same weight, after 1 elapsed one day the weight is removed and you see that plastic stretched more and which stretched less",2,0
10,en_cw_000341,"Conclusion: There is minor difference after stretching plastic.\n 1. To improve the result student should increase time period of experiment, e.g instead of 5 minutes 1 hours. \n 2. to validate results student should repeat same procedure more than 2 times.",2,2
11,en_cw_000342,"а.Different types of plastic stretch unequally\n в. 1)Plastic needed with the same length, width and thickness\n 2)Need the same temperature of plastic and the environment",2,2
12,en_cw_000343,"a. The plastics have varying levels of stretch/elasticity. From least stretch to most: A, C, D, B.\n b. Does not state if the width or thickness of plastic was measured, these would need to be uniform across the plastic types for valid conclusions to be drawn.",2,2
13,en_cw_000344,the whole procedure is perfect,2,0
14,en_cw_000345,"Conclusion: plastic is a malleable material, is deformed with the application of efforts. The student was able to leave more time the weights placed to the sample and could also use a source of heat to better visualize the process.",2,0
15,en_cw_000346,take the mass of each weight to know the resistance of the materia\n take the data of plastic fracture,2,0
16,en_cw_000347,"The experiment concludes that not all the plastics reacts in same manner. Depending on which type of polymers are used on each sample we can get different results.\n The experiments might be improved using the same forces on each sample, and knowing the weight of the elements added to the clamps to make strength.",2,2
17,en_cw_000348,plastic type A has the highest elasticity rate\n avoid zero error when measuring the length of the plastic,2,0
18,en_cw_000349,the elasticity of the plastic is double the length of it before it is elongated.,2,0
19,en_cw_000350,the experiment would have more validity if at the end of the collected data had made some conclusions that contrast the results obtained,2,0
20,en_cw_000351,"measure the actual size, tie a weight on one side and grab it by the other hand wait for a moment to remove the weight and then measure the resulting size",2,1
21,en_cw_000352,Fort most of the samples amount stretched was bigger in the second trial than the first one\n conclusion can be generaized that that seconde trial stretch is usually bigger than first trial,2,0
22,en_cw_000353,"- The plastics used, according to their elasticity, responded positively in response to the weight load to which they were exposed. Only one of them remained with its properties and values ​​intact.\n - To be able to suggest a new experimental design ",2,0
23,en_cw_000355,"The plastic D is the one that has lower elasticity. The plastic C can be like a spring, since in the second test it shrunk. Plastic a and B have good elasticity.\n To improve the experiment it is necessary to specify that the plastic samples must have the same lengths.",2,1
24,en_cw_000356,A) NOT ALL TYPES OF PLASTIC ARE STRETCHED WITH THE WEIGHT USED B) MEASURE THE PRESSURE OF THE CLAMP AND PLACE THE SAME WEIGHT (GRAMS) IN EACH OF THE SAMPLES,2,1
25,en_cw_000358,a. The different types of plastic have different elasticities.\n b. Measure the plastics with the weight still on. Perform more trials to get better statistics.,2,2
26,en_cw_000360,a-Plastic Type B has highest stretchability.b- use clamps insted of tape .,2,1
27,en_cw_000361,"1 Sample 3 present inconsistency because instead of being longer they have a shorter length after the experiment\n 2 Before placing the weight make two marks on the sample, one superor and the other lower and measure the distance between these marks. After allowing the 5 minutes to pass, do not remove the weight and re-measure the distance between the marks and that is the measure to be taken",2,0
28,en_cw_000362,1- the weights of the clamp\n 2- the weight of each weight\n 3- any additional external factors to the experiment,2,1
29,en_cw_000364,"a. the added weight is able to lengthen the plastics studied\n \n b. increase the number of samples, increase the number of repetitions",2,1
30,en_cw_000366,"The majority of polymers, badly called plastics, that we know and are part of our daily life are solid and of the most capricious forms. But in order to adopt these forms, polymers must be worked as liquids: dissolved or molten. It is therefore important to have suitable solvents for plastics. One of the most common polymers that we all know is the porexpan or white cork"", used in packaging. At the molecular level, it is a low molecular weight polystyrene (which is why it is used for packing) in which gas bubbles are trapped. Polystyrene is very soluble in acetone, especially in its lower weight chains""",2,0
31,en_cw_000368,"in general the plastics tend to elongate as we can see in the results the type a and b are lengthened, the c is usually shortened and the d remains the same.\n the student was able to improve the procedure by doing more times the procedure with the same type of material to see if the same thing always happens and if the same thing is always extended.\n can also make the clamp last longer with the weight to see if the plastic is deformed more or not",2,1
32,en_cw_000369,exerting a gradual pressure on each of the elements in question.,2,0
33,en_cw_000370,"Plastic type C was the most stretchable from the other, getting more stretched by the weights added to it. Another way he could to do this investigation, is putting some weight above each polymer plastics type for a specific time, the one that gets more little than the other ones is the most stretchable polymer plastic type.",2,0
34,en_cw_000371,"it was determined that sample A is the polymer with the highest elasticity, sample D was not affected by weight and sample C contracted",2,0
35,en_cw_000372,Three of the four plastic types tested showed an increase in length after stretching exercise. \n The student could have improved the experiment by\n 1) determining if there was a maximum weight/stretching pressure that could be applied to the plastic \n 2) determining if the plastic returned to original length after a certain amount of time or if the stretchability measurements were permanent,2,1
36,en_cw_000373,"Plastic type B has the highest stretchability, followed by type B and type C. Type A has the lowest stretchability. The student could try different stretching times for each plastic type, and/or using different length for each type.",2,3
37,en_cw_000374,Longitude is growing in most of the cases. \n Bigger amount of types. and more meassurments.,2,1
38,en_cw_000375,"Sample 1 and 2 are less elastic, sample number 3 is more elastic than sample number 1, 2 and 4. Sample number 4 retained its intact elasticity. It could have increased the number of measurements and numbers of samples to have a representative sample of a population. He could also have used more different types of materials, everything depends on his final goal.",2,1
39,en_cw_000377,the student may have been simpler to apply pressure to stretch the plastic and simply measure the elasticity capacity that would have,2,0
40,en_cw_000378,I'm sure their are now to do.,2,0
41,en_cw_000379,Nearest result is on sample plastic D\n and most dofferent in on sample plastic A,2,0
42,en_cw_000380,plastico a b c,2,0
43,en_cw_000381,"a. For plastic type a and b the plastic tends to stretch, in the case of type c shrinks and type d is the same size.\n b. 1.- You can extend the execution time for more than five minutes.\n 2.- A heavier weight can be placed too.",2,1
44,en_cw_000382,Plastic type D does not appear to stretch. Ensure the weights and clamps used for each sample are identical.,2,1
45,en_cw_000383,plastic a b d,2,0
46,en_cw_000384,a. most plastics have the property of elongation when they are forced for excesive weight\n b. Using different kind of polymeres not just plastic and showing the exact weight used for calculation purposes.,2,0
47,en_cw_000385,"Student could have used a different or more appropriate tabel of results,student should write the explanation of the tabel besides the table only",2,0
48,en_cw_000386,some plastic samples are stronger or weaker then another,2,0
49,en_cw_000390,"It was better to take all samples of the same length and then measure after stretching. They could take samples, for instance 10 mm long, and then they could easily calculate the percentage of stretching. And also they should perform experiment more times to have more precise results.",2,2
50,en_cw_000391,I did not suffer stretching.\n B suffered a minimum stretch of 22 to 23 mm.\n A suffered a stretch of 10 to 12 mm.\n C did not have the only full stretch from 14 to only 13 mm.,2,0
51,en_cw_000392,"in this experiment it is shown how each type of plastic reacts differently when a force is applied, changing its length",2,1
52,en_cw_000393,"By placing weights on the polymer, it stretches, tending to maintain that state even after removing the weights.\n The number of measurements must be increased to reduce the error",2,1
53,en_cw_000394,"In this experiment we wanted to know, the different types of plastics with their elasticity, putting them approved by fastening them to a table and placing weight to determine their hardness\n \n 1- The student rolls each of the plastics to see which has more elasticity.\n 2-The student heats it to a specific temperature to see which one stretches the most as it gets hot.",2,0
54,en_cw_000395,"I should look for elasticity because it only shows the quantity, not the elasticity",2,0
55,en_cw_000396,the types of plastic present do not match,2,0
56,en_cw_000397,some types of plastic stretched more than others. Make sure the weight and size of each piece of plastic is uniform. Make pieces of tape uniform insize and shape,2,3
57,en_cw_000399,"WHAT CLAMP IS NEEDED, PLASTIC CAN BE OF DIFFERENT TYPES SO BE SPECIFIC",2,0
58,en_cw_000400,I can conclude that diferent types of plastics have diferent stretchability.\n \n it is necessary for the student to provide the initial measurement of each sample.\n it is necessary repeat de experiment a larger number of times to take a average.,2,3
59,en_cw_000401,The stretched amount as a rule increase in the second trial,2,0
60,en_cw_000402,"plastic is practically not plastic (not tensile under load). for more accurate conclusions, it is necessary to increase the length of the samples.",2,1
61,en_cw_000403,"Conclusion: plastic is a malleable material, it deforms with effort. The student should place the weight for longer, additionally incorporate heat for better observation.",2,1
62,en_cw_000404,"The analysis was based on the amount in millimeters of stretched plastics.\n Maybe if we had the final result with the final length after stretching the plastics would be a better result, more complete.",2,0
63,en_cw_000405,"The results find that plastic type A is the most stretchy. The experiment would have been better if they had used the length of plastic for each type, it may also be beneficial to use more weight as the results don't seem to show much stretching.",2,1
64,en_cw_000406,"based on the result, plastic type A stretched the most compared to others while plastic type D was not stretched at all. the experiment can be improved by:\n 1) control other variable that may affecting the final result such as doing the experiment in a controlled environment where no wind and sunshine present to affect the plastic stretch more or less that its supposed to based on its original characteristics.\n 2) varies the weight for multiple experiment to obtain more result to be analyzed before making the final conclusion.",2,1
65,en_cw_000407,It could be said that the plastic type with D1=20 no change except the other s,2,0
66,en_cw_000408,Remove the weights .\n Attach a clamp to the bottom edge of the plastic sample properly.,2,0
67,en_cw_000409,A= 10*12 = 122,2,0
68,en_cw_000410,a. plastice type d is the strongest and was undistorted \n b. the plastic types have to be both the same length and width to be more valid,2,2
69,en_cw_000411,Conclusion: Plastic type B has better stretchability. \n \n Improvement: Use a grip to hold the plastic firmly; measure the force of the clamp.,2,1
70,en_cw_000412,"a. Plastic type A, B have stretchability while Plastic Type C and D no. \n b. The student could have used the method of stretching the lower side of the four types of materials to determine the same result by measuring the ability to stretch them.",2,0
71,en_cw_000413,"the table is missing some information. It must contain the 'initial length' of the piece of plastic and the 'final length'. Other than that, you should write 'T1' and 'T2' instead of 'D1' and 'D2'.\n So, no conclusion can be drawn, because like I said: the table is missing information! Please review!",2,1
72,en_cw_000414,Let the plastic hang for a longer time. Add more weight to each of the plastics,2,0
73,en_cw_000415,B and D were stretchier. Perform another trial for accuracy.,2,1
74,en_cw_000416,we see that after many attempts procedure stabilize the amount of stretched plastic. I think here will be better a graphic parabola grafic to discribe the complexity of the process.,2,0
75,en_cw_000417,the student could apply temperature to the plastic,2,0
76,en_cw_000418,It is necessary to place heat on the sample to observe the yielding or breaking point of the material and the maximum stretch capacity,2,0
77,en_cw_000419,"Data b shows that plastic B is stretchable, nothing else. Th experiment can be improved by taking more measures on different weights, not only two.",2,1
78,en_cw_000420,a. from the research above the plastic type A has better stratchabillity than the other plastic type. \n b. the student should did trail for three times to make data valid\n the plastic type should be known,2,0
79,en_cw_000421,According to what can be observed in the description the student wanted to measure the malleability and the ability to yield the plastic. Of course depending on the density and quality of the plastic material will influence its etiramiento. I would recommend the application of a greater weight.,2,0
80,en_cw_000422,trgythtyhty,2,0
81,en_cw_000423,"Plastic elasticity is not same in the firs and second trial.We should find experiment which will gave us more reliable results. a.Physical stretching with pulling, b.stretch with banding",2,0
82,en_cw_000424,There's no significant difference in the results.\n Maybe use differents instruments and materials,2,0
83,en_cw_000425,"The property of elasticity predominates in the polymer data, taking into account that most of the polymers in question had a greater length after the experiment. It is recommended to specify the weight to which they were exposed, and also a better wording and organization in the data table added to the specification of the thickness of the tubes since it is an important variable.",2,1
84,en_cw_000426,a must be more,2,0
85,en_cw_000427,Conclusion: Three of the plastic samples stretched a fraction while one of the samples actually shrank.\n The student could have mentioned what types of plastics he/she used and what weights were used. Also were all the plastic samples the same width.,2,2
86,en_cw_000428,"Plastic types A and B stretched but D didn't and C even got shorter. I think in order to improve this experiment, the student could have examinate plastic type C and find out why it did not stretched.",2,0
87,en_cw_000429,a. Different types of plastics have different extensibility. \n b. The measurement was performed before weighing the weights. So the experiment would be more valid.,2,2
88,en_cw_000430,"Plastic types A B and C changed but D stood the same. On the other hand, C got shorter. The student could use more types of plastic to see if these also get shorter or the same.. And why.",2,0
89,en_cw_000431,"He should use a ""control"" plastic and use together with the plastic with the heavy",2,0
90,en_cw_000432,"Conclusion is that not all plastics have the same stretchability, but some types become more stretchable the more we work on them.\n Providing the thickness of the samples would have had improved the validity of the results, also it should specify how many weights were added to the clamp.",2,3
91,en_cw_000433,Plastic type D stretches the most. They could have made sure to hang the weights only for a specific amount of time and used the same time each round of stetching. They should have made sure that the clamps all weighed exactly the same so as to not make the results invalid.,2,0
92,en_cw_000434,C\n \n 11\n \n 15,2,0
93,en_cw_000436,"A. different type of plastic has the different intensity of elasticity\n B. 1. student could mentioning the spesification of the plastic, like the thickness, etc\n 2. they should mentiioning the weight of the clamp and the objects that clipped to it, to make the experiment more clear",2,3
94,en_cw_000437,"Sample A was the one with the highest stretchability (10%). Sample D did not register any stretchability. Samples B and C also have stretchability. \n \n \n For the results to be valid and to be able to compare them, the length and width of each plastic sample must be the same. Another recommendation is that the weight on the bottom edge of the plastic sample should be the same.",2,2
95,en_cw_000438,Experiment C data is not real. It is necessary: 1) to check the weight of the cargo; 2) check the time the sample is under the weight,2,0
96,en_cw_000439,A,2,0
97,en_cw_000440,"conclusion:\n least of all deformation the sample of plastic under a letter D, he the steadiest against mechanical influence is subject to influence.\n 1.Samples have to hang much more than 5 minutes. Because time of influence isn't enough, for obtaining objective results.\n 2.Use horizontal stretching, not vertical.",2,0
98,en_cw_000441,the tests to the plastics should have been carried out simultaneously,2,0
99,en_cw_000442,"depending on the plastic type the sample either stretched, shrank, or stayed the same. the results could be improved by listing the starting length before it as stretched as well as the specific type of plastic used.",2,2
100,en_cw_000443,Resilient of Polymer,2,0
101,en_cw_000444,The type of plastic UNA has more elasticity. compared to the other three types.\n 1- should indicate that the amount of weight was the same for all types of plastics included in the sample.\n 2-had to indicate that the four samples should have the same length.,2,2
102,en_cw_000445,Maybe the amount of weight added to the clamp wasn't exactly the same. No piece of plastic is equal. I'd make sure that both plastic samples used are as similar as possible.,2,0
103,en_cw_000447,"the plastics have different elasticity, each one showed a different amount of mm in the first experiment as well as the second experiment.\n a.- the explanation of what he wanted to show with the experiment itself.\n b.- measure the plastics hanging on the table before putting the weights on them (this would show their elasticity better).",2,2
104,en_cw_000448,sdjubbyb yvybwud,2,0
105,en_cw_000449,vdwfwf5474,2,0
106,en_cw_000450,1.- Studing more quimic 2.- The plastic needs to be more exposed to the fire,2,0
107,en_cw_000451,"a) Plastics A and B ended 2 and 1 mm (respectively) longer than before, D didn't stretch and C ended shorter for some reason. \n b) You could specify what type of plastic was each one (a, b, c, and d). Also it would be useful to know the measurements (weigh, length, etc.) of the clamp.",2,0
108,en_cw_000452,"a. The piece of plastic A has a bigger coefficient of elasticity than other samples with a 20% of increase in length.\n b. First, they could measure the length of plastic without removing the weight and clamps. Second, they could calculate the percentage of change, that way they would have a better point of view of how each plastic could change in those conditions.",2,1
109,en_cw_000453,all the options proposed are ideal for work,2,0
110,en_cw_000454,trying to do the experiment in other kind of surface (a curved one).\n trying to strecht it with the hands to see the result.,2,0
111,en_cw_000455,"Plastic D was the strongest, because it didn't stretch, it stayed the same length. They should have used plastic that was all the same length and reported how much weight he used.",2,1
112,en_cw_000456,Student can find the elasticity of the matter as conclusion from this experiment and there should be much more data available like length units . Design must be specific to matter wise in details.,2,0
113,en_cw_000457,a. Plastic type A stretched the most proportionally.\n b. They could additionally measure the length of the plastic with the weights still attached.\n The should use the same length of each plastic sample.,2,2
114,en_cw_000458,"a. sample b is the moststratchable material and a the least.\n b. - heigh for the table, length spected for the samples (you can mesuare them after to get a more accurate read but is better if you use an aproximate target length this way the next person doing the experiment i not to cut 30ft long pieces and need a mile high table)\n -mass of the weights to use, for this experiment to be replicable all test should use the same mass",2,3
115,en_cw_000459,a. There is no stretchability on sample D\n b. Student could experiment with all samples together attached to clamp and weight,2,0
116,en_cw_000460,"a. The plastic that stretched the most was A (20%), followed by C (7.14%) and B (4.5%), the D did not stretch.\n b. The same length must be defined for all samples. You must specify the weight that is added, which must be the same for everyone. You can try different weights and varying times.",2,2
117,en_cw_000461,"The elasticity of the materials is different, the material B turned out to be the most elastic. The student had to increase the size of the sample, and respect the principles of the design of experiments, so that the data are valid.",2,2
118,en_cw_000462,plastic are elastic produce elasticity when external force is applied in the form of weight. the reading shows A and B are more stretched while C is lower than its elastic limit,2,0
119,en_cw_000463,"The conclusion would be that not all plastics are elongated with the same weight, so they have different properties.\n The results could be better if plastics are placed horizontally pulled by forces greater than gravity.",2,1
120,en_cw_000464,1 way\n use locksmith vice\n 2 way\n shoot it all on video,2,0
121,en_cw_000465,B,2,0
122,en_cw_000466,"The conclusion would be that not all plastics are elongated with the same weight, so they have different properties. The results could be better if plastics are placed horizontally pulled by forces greater than gravity. In this way, all",2,1
123,en_cw_000468,Record the weights used.\n using two rounds of weights,2,1
124,en_cw_000469,"In this experiment, you will be qualitatively analyzing plastic polymers for physical characteristics of opacity, flexibility, durability, and breakability. You’ll also analyze the density of each plastic by checking whether pellet samples float or sink in three liquids of different densities.",2,0
125,en_cw_000470,the polymer is stretched. increase hover time under load.increase the weight of the load.,2,0
126,en_cw_000471,the experiment shows that when external force is applied on the rubber band it experience a stress upto elastic limit\n A and B shows increase in length C has reduction,2,0
127,en_cw_000472,Plastic Type D is the most stretchable (20mm) and the shortest is A (10-12mm).,2,0
128,en_cw_000475,"It appears that in half of the experiments that the plastic stretched more the 2nd time. I would assume this means that the first stretching might have impacted how much it would stretch the 2nd time.\n I would change the graph presentation as it appears they are calling the samples D1 & D2 on the chart, but it was called T1 and T2 in the explanation. \n They also could have done all of the 4 experiments (with assistants) at the same time rather than one after the other because perhaps other factors in the room (humidity, temperature) could impact the results.",2,2
129,en_cw_000476,a. Conclusion: B has more stretchability than the others. A has the least amount of stretchability .\n \n b. - Checking the thickness of the samples\n - Do more than 2 trials,2,3
130,en_cw_000477,"The most tensile plastic ""A"" judging by the results of the experiment.",2,1
131,en_cw_000478,"All plastics don't get stretched. Some plastics may even shrink or stay the same in length.\n Students could have used clamps on both sides instead of tape.\n They could use more number of clamps for all 4 different plastics at the same time, so that trial time can be reduced.",2,0
132,en_cw_000479,"First of all procedure and data from the table are not marked in the same way.T1 and T2 in procedure and D1 and D2 in data table.What is interesting in data table is that data for plastic type C was 14 after first trial and 13 after second.How is it possible?And what kind of weight was used for streaching plastic?It looks like plastic type D is the most solid, or the weight that is used wasn't proper.",2,0
133,en_cw_000480,How much weight do i have to add in total?\n How much weight is needed for each step of load?\n Does the length of plastic samples have to be the same?,2,2
134,en_cw_000481,Indicate what type of plastic used.\n Indicate or put legend in the table. indicate what is D! and D2,2,0
135,en_cw_000482,Not all plants are elongated and requires a greater force than gravity to elongate all plastics,2,1
136,en_cw_000483,Type A presents a larger difference from D1 to D2. \n Test for more minutes.\n In some test the same plastic for different periods of time.,2,0
137,en_cw_000484,The student should check the load at which the plastic will be broken.\n The student should give it the ambient temperature when trying to load the plastic.,2,0
138,en_cw_000485,Plastics grow in most cases\n weights on the clamp could stay a little longer than 5 minutes\n the lenght of the plastic could have been measured a couple of times to get a better result,2,0
139,en_cw_000486,"Conclusion: Results were relevatively consistent throughout both experiments with only minimal variation with plastic A having the most variation and plastic B being the stretchiest.\n \n It could be improved by including the types of plastic in the final results, as opposed to being referred to by just their letter designation.",2,1
140,en_cw_000487,"Plastic type A grow up from 10 to 12, but C from 14 become 13.",2,0
141,en_cw_000488,"1. Shape of samples: different shapes present different characteristics.\n 2. Weigth added, this is needed in order to know if any sample was brought to a weight where it actually deforms insted of stretch.\n 3. Not sure if really relevant but the time the weight was applied should be known, some plastics have higher resistance but still stretch slowly.",2,1
142,en_cw_000489,as before: the size will help in the stretching of each of these,2,0
143,en_cw_000490,specify plastic shiren\n specify the weight of the load,2,1
144,en_cw_000491,Plastic Type A is expands more than other type. The student can use heavier weights and allow them to hang for ten minutes.,2,0
145,en_cw_000493,"a. Plastic A is the less and plastic B is the most stretchable. \n b. Would be better to clamp also the top edges, take say 1 meter of each tape and measure the length with hanging weights additionaly. Also would be good if weights would be say 1 kilo each.",2,1
146,en_cw_000494,B and D can be streched more than A and C\n Improve the fixing of the tapes\n improve the addition of weight,2,0
147,en_cw_000495,"The experiment has few data to reach a conclusion, ways in which it could be improved: 1.- Increase the time of the test. 2.- Submit the polymers at different temperatures to determine how much it affects its elasticity or if this makes it acquire other properties.",2,1
148,en_cw_000496,it will not be possible that mass will increase,2,0
149,en_cw_000497,It should be better to have lenses instead of table. Several weights of the same form.,2,0
